,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
245,34,25-34,male,1744,1.015482,25.61,1771,14.460757000000001,4.0,6.4025,0.225861,14.684632999999998,0.0,1.0,1.0,1.0,20.0,,25.61
246,34,25-34,female,2043,1.0,37.12,2043,18.169359,5.0,7.4239999999999995,0.244738,18.169359,1.0,2.0,2.0,2.0,31.0,37.12,18.56
247,35,25-34,unknown,43,1.023256,2.08,44,47.272727,2.0,1.04,4.5454550000000005,48.372093,0.0,0.0,0.0,0.0,0.0,,
248,35,35-44,female,320,1.00625,13.25,322,41.149068,1.0,13.25,0.31055900000000003,41.40625,0.0,1.0,0.0,0.0,0.0,,13.25
249,35,25-34,male,936,1.016026,36.25,951,38.117771000000005,2.0,18.125,0.21030500000000002,38.728632,0.0,0.0,0.0,0.0,0.0,,
250,35,25-34,female,459,1.010893,17.78,464,38.318965999999996,2.0,8.89,0.43103400000000003,38.736383000000004,0.0,0.0,0.0,0.0,1.0,,
251,35,35-44,male,517,1.0135399999999999,17.32,524,33.053435,2.0,8.66,0.381679,33.500966999999996,0.0,0.0,1.0,0.0,2.0,,
252,35,35-44,unknown,27,1.0,0.8,27,29.62963,0.0,,,29.62963,0.0,0.0,0.0,0.0,0.0,,
253,36,25-34,female,3900,1.06359,137.27,4148,33.093057,42.0,3.268333,1.012536,35.197435999999996,3.0,5.0,3.0,0.0,12.0,45.756667,27.454
254,36,35-44,unknown,148,1.317568,6.12,195,31.384615000000004,2.0,3.06,1.025641,41.351351,0.0,1.0,0.0,0.0,1.0,,6.12
255,36,35-44,male,3932,1.050865,116.4,4132,28.170378000000003,29.0,4.013793,0.701839,29.603254999999997,0.0,2.0,2.0,1.0,9.0,,58.2
256,36,35-44,female,2224,1.043165,92.04,2320,39.672414,17.0,5.414118,0.732759,41.384892,1.0,5.0,0.0,1.0,6.0,92.04,18.408
257,36,25-34,male,6668,1.121476,188.65,7478,25.227334,73.0,2.584247,0.976197,28.291842,1.0,7.0,0.0,1.0,4.0,188.65,26.95
258,36,25-34,unknown,460,1.0695649999999999,13.71,492,27.865854,2.0,6.855,0.406504,29.804347999999997,0.0,0.0,0.0,0.0,0.0,,
